ZIP DISEASE_ID COUNT
95670 OTH 87
94118 HTD 57
95121 HTD 22
93063 STK 21
92708 CLD 21
92081 OTH 26
94010 STK 36
91801 HTD 100
94134 HTD 79
90044 OTH 119
91740 CLD 26
92703 OTH 51
95350 INJ 29
92103 CAN 61
92225 CAN 24
93901 STK 31
92262 CAN 66
92679 CAN 24
94070 OTH 34
95336 DIA 20
93003 CLD 21
92126 OTH 51
91350 CAN 43
95928 CAN 54
91101 HTD 50
92240 HTD 75
91401 HTD 67
92592 CAN 63
91791 CAN 60
90703 STK 23
90255 OTH 37
94804 OTH 75
90011 STK 24
95076 OTH 77
92840 OTH 56
94108 HTD 26
95829 OTH 20
92677 CLD 20
92691 HTD 85
90042 OTH 40
92675 CAN 60
90604 CAN 65
95453 CAN 36
90056 HTD 24
91344 HTD 98
93308 CLD 45
93309 CLD 29
91732 CAN 48
90660 CLD 27
93245 CAN 41
95661 CAN 54
90242 OTH 38
94066 HTD 68
91436 HTD 57
90712 OTH 34
91367 HTD 96
90249 CAN 37
92648 HTD 59
94599 OTH 38
94607 HTD 43
93033 HTD 56
95814 OTH 50
95030 HTD 26
93955 OTH 48
92404 INJ 20
91731 CAN 29
95148 OTH 24
92688 CAN 28
91001 CAN 72
90744 CAN 44
93702 STK 24
92557 HTD 66
90038 OTH 21
90039 HTD 30
95540 OTH 40
91040 HTD 50
91311 CAN 80
93010 CLD 22
91402 CAN 53
93065 CAN 84
92117 HTD 80
93307 STK 23
95204 HTD 105
90016 HTD 121
94806 CAN 110
91360 CLD 25
90717 CAN 34
90604 CLD 20
93442 CAN 45
92241 CAN 21
99998 OTH 277
94403 CAN 67
92253 HTD 72
91770 HTD 86
93422 OTH 52
90505 OTH 42
93401 CAN 62
90069 OTH 46
92262 STK 34
95826 CAN 60
99998 DIA 32
95062 HTD 84
95608 HTD 218
92120 HTD 84
93036 CAN 35
90638 CLD 22
92410 CLD 22
93247 CAN 20
95203 CAN 29
91331 STK 21
90005 OTH 22
95667 CAN 84
92026 CAN 96
90303 OTH 23
91104 OTH 37
92870 CAN 79
94116 OTH 87
92648 CAN 75
93401 OTH 59
94564 CAN 33
90503 CAN 93
92562 CLD 23
91501 HTD 35
93449 CAN 22
90650 INJ 28
93933 OTH 29
91344 OTH 47
95355 CAN 102
92691 OTH 39
91355 CAN 44
94509 CAN 93
92056 STK 28
94526 CAN 65
91325 CAN 60
95307 CLD 24
92113 HTD 51
92804 HTD 126
91765 CAN 49
91784 OTH 25
93706 CAN 45
95337 OTH 24
91423 CAN 50
90808 ALZ 23
93309 PNF 26
90405 OTH 20
94553 CLD 29
92020 PNF 22
93551 HTD 57
91764 OTH 56
93035 HTD 45
90057 OTH 39
95826 OTH 54
91744 OTH 69
92708 CAN 91
95118 CAN 34
94306 CAN 44
93422 CAN 60
95828 CAN 96
95240 OTH 94
95843 CAN 30
92653 CLD 22
90013 CAN 20
90804 HTD 73
93662 OTH 45
95050 OTH 42
92346 STK 25
95350 CAN 124
92543 INJ 27
92545 CLD 53
90602 HTD 31
91320 HTD 56
91767 STK 24
92124 CAN 30
95605 OTH 25
94510 HTD 38
91103 HTD 66
91977 PNF 22
90043 CAN 103
96130 CAN 21
91730 HTD 89
91307 HTD 62
92504 OTH 69
94002 CAN 40
92011 HTD 28
90040 HTD 20
95132 OTH 51
95210 OTH 45
95207 CLD 34
90248 HTD 20
91030 OTH 32
92832 OTH 22
95204 STK 35
92806 HTD 47
90001 HTD 63
93307 OTH 80
91335 CAN 112
90803 OTH 24
91302 OTH 25
94402 OTH 47
90802 CLD 22
95667 OTH 74
95307 CAN 62
93710 OTH 39
91790 CAN 63
93454 CAN 59
92570 CAN 67
95762 OTH 33
91744 CLD 23
93274 HTD 106
94533 CLD 27
95351 CAN 32
91977 OTH 71
91207 HTD 40
94609 CAN 45
91752 CAN 51
92223 OTH 45
92780 OTH 36
91801 STK 40
93030 PNF 28
91606 CAN 51
96019 CAN 31
92011 CAN 50
92020 CAN 92
95831 CAN 71
92653 CAN 207
92555 HTD 38
94952 CAN 58
93551 CAN 72
95621 CLD 25
92692 OTH 49
94603 HTD 62
94952 STK 20
94112 INJ 23
94127 CAN 42
93405 HTD 27
94578 CAN 53
92123 CAN 44
94607 HTD 47
91706 OTH 49
92009 CAN 82
95966 STK 29
95202 HTD 36
95348 CAN 21
95695 OTH 71
93030 HTD 64
94538 OTH 57
95050 CAN 49
90740 STK 32
95825 CAN 61
92656 HTD 26
90034 OTH 32
95205 HTD 38
93030 CAN 66
91011 CAN 40
93428 CAN 21
90301 CAN 51
93063 HTD 84
95032 ALZ 27
95966 HTD 90
92647 CLD 23
95838 OTH 48
94080 HTD 128
91007 HTD 85
95123 HTD 66
92154 OTH 65
92021 ALZ 27
91607 CAN 41
90063 OTH 62
92346 CLD 20
95991 CLD 35
93705 CAN 67
94301 CAN 45
95820 CAN 84
92114 HTD 123
90660 CAN 91
90005 HTD 29
90650 CAN 149
95816 HTD 44
