State Measure ID Score
DE HAI_3_CI_LOWER 1.064
FL HAI_3_CI_LOWER 0.858
GA HAI_3_CI_LOWER 1.102
HI HAI_3_CI_LOWER 0.486
IA HAI_3_CI_LOWER 1.001
ID HAI_3_CI_LOWER 0.902
IL HAI_3_CI_LOWER 0.865
IN HAI_3_CI_LOWER 0.846
KS HAI_3_CI_LOWER 1.059
KY HAI_3_CI_LOWER 0.799
LA HAI_3_CI_LOWER 0.790
MA HAI_3_CI_LOWER 0.842
MD HAI_3_CI_LOWER 0.907
ME HAI_3_CI_LOWER 1.001
MI HAI_3_CI_LOWER 0.885
MN HAI_3_CI_LOWER 0.956
MO HAI_3_CI_LOWER 0.715
MS HAI_3_CI_LOWER 0.709
MT HAI_3_CI_LOWER 0.389
NC HAI_3_CI_LOWER 0.730
ND HAI_3_CI_LOWER 0.607
NE HAI_3_CI_LOWER 0.695
NH HAI_3_CI_LOWER 0.670
NJ HAI_3_CI_LOWER 0.644
NM HAI_3_CI_LOWER 1.042
NV HAI_3_CI_LOWER 0.913
NY HAI_3_CI_LOWER 1.117
OH HAI_3_CI_LOWER 0.837
OK HAI_3_CI_LOWER 0.659
OR HAI_3_CI_LOWER 0.520
PA HAI_3_CI_LOWER 0.838
RI HAI_3_CI_LOWER 0.724
SC HAI_3_CI_LOWER 0.786
SD HAI_3_CI_LOWER 1.110
TN HAI_3_CI_LOWER 0.714
TX HAI_3_CI_LOWER 0.847
UT HAI_3_CI_LOWER 0.708
VA HAI_3_CI_LOWER 0.956
VI HAI_3_CI_LOWER 0.197
VT HAI_3_CI_LOWER 1.267
WA HAI_3_CI_LOWER 0.774
WI HAI_3_CI_LOWER 0.738
WV HAI_3_CI_LOWER 1.098
WY HAI_3_CI_LOWER 0.234
AK HAI_4_SIR 0.000
AL HAI_4_SIR 0.840
AR HAI_4_SIR 0.509
AZ HAI_4_SIR 0.956
CA HAI_4_SIR 1.080
CO HAI_4_SIR 1.182
CT HAI_4_SIR 1.250
DC HAI_4_SIR 1.491
DE HAI_4_SIR 1.878
FL HAI_4_SIR 0.849
GA HAI_4_SIR 1.108
HI HAI_4_SIR 0.472
IA HAI_4_SIR 0.995
ID HAI_4_SIR 0.477
IL HAI_4_SIR 0.922
IN HAI_4_SIR 1.194
KS HAI_4_SIR 0.929
KY HAI_4_SIR 0.902
LA HAI_4_SIR 1.153
MA HAI_4_SIR 1.080
MD HAI_4_SIR 0.943
ME HAI_4_SIR 1.412
MI HAI_4_SIR 1.126
MN HAI_4_SIR 1.285
MO HAI_4_SIR 0.658
MS HAI_4_SIR 1.292
MT HAI_4_SIR 1.518
NC HAI_4_SIR 0.827
ND HAI_4_SIR 0.677
NE HAI_4_SIR 1.643
NH HAI_4_SIR 1.002
NJ HAI_4_SIR 1.102
NM HAI_4_SIR 1.265
NV HAI_4_SIR 1.073
NY HAI_4_SIR 1.089
OH HAI_4_SIR 0.993
OK HAI_4_SIR 0.538
OR HAI_4_SIR 0.799
PA HAI_4_SIR 0.874
RI HAI_4_SIR 0.950
SC HAI_4_SIR 0.668
SD HAI_4_SIR 1.304
TN HAI_4_SIR 0.905
TX HAI_4_SIR 0.848
UT HAI_4_SIR 1.171
VA HAI_4_SIR 1.413
VT HAI_4_SIR 2.224
WA HAI_4_SIR 0.830
WI HAI_4_SIR 1.146
WV HAI_4_SIR 1.189
WY HAI_4_SIR 1.952
AK HAI_4_CI_UPPER 0.723
AL HAI_4_CI_UPPER 1.096
AR HAI_4_CI_UPPER 0.821
AZ HAI_4_CI_UPPER 1.244
CA HAI_4_CI_UPPER 1.229
CO HAI_4_CI_UPPER 1.578
CT HAI_4_CI_UPPER 1.719
DC HAI_4_CI_UPPER 2.736
DE HAI_4_CI_UPPER 3.028
FL HAI_4_CI_UPPER 1.003
GA HAI_4_CI_UPPER 1.325
HI HAI_4_CI_UPPER 1.561
IA HAI_4_CI_UPPER 1.458
ID HAI_4_CI_UPPER 1.299
IL HAI_4_CI_UPPER 1.139
IN HAI_4_CI_UPPER 1.530
KS HAI_4_CI_UPPER 1.352
KY HAI_4_CI_UPPER 1.200
LA HAI_4_CI_UPPER 1.500
MA HAI_4_CI_UPPER 1.451
MD HAI_4_CI_UPPER 1.266
ME HAI_4_CI_UPPER 2.592
MI HAI_4_CI_UPPER 1.374
MN HAI_4_CI_UPPER 1.726
MO HAI_4_CI_UPPER 0.897
MS HAI_4_CI_UPPER 1.736
MT HAI_4_CI_UPPER 2.706
NC HAI_4_CI_UPPER 1.035
ND HAI_4_CI_UPPER 1.634
NE HAI_4_CI_UPPER 2.373
NH HAI_4_CI_UPPER 1.903
NJ HAI_4_CI_UPPER 1.409
NM HAI_4_CI_UPPER 1.961
NV HAI_4_CI_UPPER 1.683
NY HAI_4_CI_UPPER 1.274
OH HAI_4_CI_UPPER 1.187
OK HAI_4_CI_UPPER 0.816
OR HAI_4_CI_UPPER 1.211
PA HAI_4_CI_UPPER 1.063
RI HAI_4_CI_UPPER 1.743
SC HAI_4_CI_UPPER 0.932
SD HAI_4_CI_UPPER 2.267
TN HAI_4_CI_UPPER 1.140
TX HAI_4_CI_UPPER 0.978
UT HAI_4_CI_UPPER 1.670
VA HAI_4_CI_UPPER 1.717
VT HAI_4_CI_UPPER 4.625
WA HAI_4_CI_UPPER 1.152
WI HAI_4_CI_UPPER 1.507
WV HAI_4_CI_UPPER 1.803
WY HAI_4_CI_UPPER 5.312
AK HAI_4_CI_LOWER -
AL HAI_4_CI_LOWER 0.632
AR HAI_4_CI_LOWER 0.296
AZ HAI_4_CI_LOWER 0.721
CA HAI_4_CI_LOWER 0.946
CO HAI_4_CI_LOWER 0.866
CT HAI_4_CI_LOWER 0.884
DC HAI_4_CI_LOWER 0.727
DE HAI_4_CI_LOWER 1.091
FL HAI_4_CI_LOWER 0.713
GA HAI_4_CI_LOWER 0.919
HI HAI_4_CI_LOWER 0.079
IA HAI_4_CI_LOWER 0.652
ID HAI_4_CI_LOWER 0.121
IL HAI_4_CI_LOWER 0.738
IN HAI_4_CI_LOWER 0.917
KS HAI_4_CI_LOWER 0.615
KY HAI_4_CI_LOWER 0.664
LA HAI_4_CI_LOWER 0.870
MA HAI_4_CI_LOWER 0.785
MD HAI_4_CI_LOWER 0.685
ME HAI_4_CI_LOWER 0.689
MI HAI_4_CI_LOWER 0.913
MN HAI_4_CI_LOWER 0.934
MO HAI_4_CI_LOWER 0.470
MS HAI_4_CI_LOWER 0.939
MT HAI_4_CI_LOWER 0.771
NC HAI_4_CI_LOWER 0.652
ND HAI_4_CI_LOWER 0.215
NE HAI_4_CI_LOWER 1.096
NH HAI_4_CI_LOWER 0.465
NJ HAI_4_CI_LOWER 0.848
NM HAI_4_CI_LOWER 0.773
NV HAI_4_CI_LOWER 0.646
NY HAI_4_CI_LOWER 0.925
OH HAI_4_CI_LOWER 0.824
OK HAI_4_CI_LOWER 0.338
OR HAI_4_CI_LOWER 0.501
PA HAI_4_CI_LOWER 0.711
RI HAI_4_CI_LOWER 0.463
SC HAI_4_CI_LOWER 0.465
SD HAI_4_CI_LOWER 0.686
TN HAI_4_CI_LOWER 0.708
TX HAI_4_CI_LOWER 0.731
UT HAI_4_CI_LOWER 0.794
VA HAI_4_CI_LOWER 1.151
VT HAI_4_CI_LOWER 0.901
WA HAI_4_CI_LOWER 0.581
WI HAI_4_CI_LOWER 0.854
WV HAI_4_CI_LOWER 0.746
WY HAI_4_CI_LOWER 0.496
AK HAI_5_SIR 0.875
AL HAI_5_SIR 1.221
AR HAI_5_SIR 1.145
AZ HAI_5_SIR 1.031
CA HAI_5_SIR 1.010
CO HAI_5_SIR 0.605
CT HAI_5_SIR 0.972
DC HAI_5_SIR 1.021
DE HAI_5_SIR 1.309
FL HAI_5_SIR 1.263
GA HAI_5_SIR 1.275
HI HAI_5_SIR 0.567
IA HAI_5_SIR 0.566
ID HAI_5_SIR 0.459
IL HAI_5_SIR 0.848
IN HAI_5_SIR 0.939
KS HAI_5_SIR 0.942
KY HAI_5_SIR 1.370
LA HAI_5_SIR 1.348
MA HAI_5_SIR 0.750
MD HAI_5_SIR 1.303
ME HAI_5_SIR 0.462
MI HAI_5_SIR 1.093
MN HAI_5_SIR 0.477
MO HAI_5_SIR 0.893
MS HAI_5_SIR 1.120
MT HAI_5_SIR 0.619
NC HAI_5_SIR 1.013
ND HAI_5_SIR 0.613
NE HAI_5_SIR 0.954
NH HAI_5_SIR 0.829
NJ HAI_5_SIR 1.147
NM HAI_5_SIR 0.663
NV HAI_5_SIR 0.864
NY HAI_5_SIR 1.077
OH HAI_5_SIR 0.978
OK HAI_5_SIR 1.312
OR HAI_5_SIR 0.625
PA HAI_5_SIR 0.948
PR HAI_5_SIR 0.703
RI HAI_5_SIR 0.650
SC HAI_5_SIR 1.244
SD HAI_5_SIR 0.352
TN HAI_5_SIR 1.233
TX HAI_5_SIR 0.923
UT HAI_5_SIR 0.632
VA HAI_5_SIR 0.856
VI HAI_5_SIR 0.884
VT HAI_5_SIR 1.099
WA HAI_5_SIR 0.659
WI HAI_5_SIR 0.493
WV HAI_5_SIR 1.170
WY HAI_5_SIR 0.241
AK HAI_5_CI_UPPER 1.560
AL HAI_5_CI_UPPER 1.389
AR HAI_5_CI_UPPER 1.395
AZ HAI_5_CI_UPPER 1.197
CA HAI_5_CI_UPPER 1.084
CO HAI_5_CI_UPPER 0.782
CT HAI_5_CI_UPPER 1.182
DC HAI_5_CI_UPPER 1.329
DE HAI_5_CI_UPPER 1.792
FL HAI_5_CI_UPPER 1.351
GA HAI_5_CI_UPPER 1.417
HI HAI_5_CI_UPPER 0.878
IA HAI_5_CI_UPPER 0.753
ID HAI_5_CI_UPPER 0.818
IL HAI_5_CI_UPPER 0.954
IN HAI_5_CI_UPPER 1.094
KS HAI_5_CI_UPPER 1.192
KY HAI_5_CI_UPPER 1.562
LA HAI_5_CI_UPPER 1.536
MA HAI_5_CI_UPPER 0.876
MD HAI_5_CI_UPPER 1.486
ME HAI_5_CI_UPPER 0.756
MI HAI_5_CI_UPPER 1.214
MN HAI_5_CI_UPPER 0.613
MO HAI_5_CI_UPPER 1.031
MS HAI_5_CI_UPPER 1.348
MT HAI_5_CI_UPPER 1.104
NC HAI_5_CI_UPPER 1.130
ND HAI_5_CI_UPPER 1.022
NE HAI_5_CI_UPPER 1.268
NH HAI_5_CI_UPPER 1.246
NJ HAI_5_CI_UPPER 1.282
NM HAI_5_CI_UPPER 0.979
NV HAI_5_CI_UPPER 1.098
NY HAI_5_CI_UPPER 1.155
OH HAI_5_CI_UPPER 1.084
OK HAI_5_CI_UPPER 1.537
OR HAI_5_CI_UPPER 0.815
PA HAI_5_CI_UPPER 1.044
PR HAI_5_CI_UPPER 1.391
RI HAI_5_CI_UPPER 1.007
SC HAI_5_CI_UPPER 1.434
SD HAI_5_CI_UPPER 0.647
TN HAI_5_CI_UPPER 1.375
TX HAI_5_CI_UPPER 0.997
UT HAI_5_CI_UPPER 0.886
VA HAI_5_CI_UPPER 0.989
VI HAI_5_CI_UPPER 2.921
VT HAI_5_CI_UPPER 1.832
WA HAI_5_CI_UPPER 0.805
WI HAI_5_CI_UPPER 0.635
WV HAI_5_CI_UPPER 1.437
WY HAI_5_CI_UPPER 1.188
AK HAI_5_CI_LOWER 0.445
AL HAI_5_CI_LOWER 1.069
AR HAI_5_CI_LOWER 0.930
AZ HAI_5_CI_LOWER 0.882
CA HAI_5_CI_LOWER 0.940
CO HAI_5_CI_LOWER 0.460
CT HAI_5_CI_LOWER 0.790
DC HAI_5_CI_LOWER 0.771
DE HAI_5_CI_LOWER 0.930
FL HAI_5_CI_LOWER 1.179
GA HAI_5_CI_LOWER 1.143
HI HAI_5_CI_LOWER 0.346
IA HAI_5_CI_LOWER 0.416
ID HAI_5_CI_LOWER 0.233
